Code,ISO ID,Type,Name,Unicode Alias,Unicode Version,Unicode Subversion,Parent,Common Lang
Adlm,166,4,Adlam,Adlam,9,0,Zzzz,ff
Afak,439,1,Afaka,,,
Aghb,239,4,Caucasian Albanian,Caucasian_Albanian,7,0,Grek
Ahom,338,5,Ahom,Ahom,8,0,Mymr
Arab,160,6,Arabic,Arabic,1,1,Nbat,ar
Aran,161,6,Nastaliq,,1,1
Armi,124,6,Aramaic,Imperial_Aramaic,5,2,Phnx,arc
Armn,230,4,Armenian,Armenian,1,1,Grek,hy
Avst,134,4,Avestan,Avestan,5,2
Bali,360,5,Balinese,Balinese,5,0,Kawi
Bamu,435,5,Bamum,Bamum,5,2,Zzzz
Bass,259,4,Bassa Vah,Bassa_Vah,7,0,Zzzz
Batk,365,5,Batak,Batak,6,0,Kawi
Beng,325,5,Bengali,Bengali,1,1,Qabd,be
Berf,258,4,Zaghawa,Beria_Erfe,17,0,Zzzz
Bhks,334,5,Bhaiksuki,Bhaiksuki,9,0,Qabg
Blis,550,8,Blissymbols,,,
Bopo,285,4,Bopomofo,Bopomofo,1,1
Brah,300,5,Brahmi,Brahmi,6,0,Armi
Brai,570,3,Braille,Braille,3,0
Bugi,367,5,Lontara,Buginese,4,1,Kawi
Buhd,372,5,Buhid,Buhid,3,2,Tglg
Cakm,349,5,Chakma,Chakma,6,1,Mymr,ccp
Cans,440,5,Canadian Aboriginal,Canadian_Aboriginal,3,0,,csw
Cari,201,4,Carian,Carian,5,1,Grek
Cham,358,5,Cham,Cham,5,1,Qabp
Cher,445,7,Cherokee,Cherokee,3,0,Latn,chr
Chis,298,1,Chisoi,,,
Chrs,109,6,Khwarezmian,Chorasmian,13,0,Armi
Cirt,291,4,Cirth,,,
Copt,204,4,Coptic,Coptic,4,1,,cop
Cpmn,402,7,Cypro-Minoan,Cypro_Minoan,14,0,Lina
Cprt,403,7,Cypriot,Cypriot,4,0,Cpmn
Cyrl,220,4,Cyrillic,Cyrillic,1,1,,ru
Cyrs,221,4,Early Cyrillic,,1,1
Deva,315,5,Devanagari,Devanagari,1,1,Qabn,hi
Diak,342,5,Dhives Akuru,Dives_Akuru,13,0,Gran,dv
Dogr,328,5,Dogri,Dogra,11,0,Takr
Dsrt,250,4,Deseret,Deseret,3,1,Latn,en
Dupl,755,4,Duployan Shorthand,Duployan,7,0,Zzzz
Egyd,70,8,Demotic,,,
Egyh,60,8,Hieratic,,5,2
Egyp,50,8,Egyptian Hieroglyphs,Egyptian_Hieroglyphs,5,2,Zzzz
Elba,226,4,Elbasan,Elbasan,7,0,Zzzz
Elym,128,6,Elymaic,Elymaic,12,0,Armi
Ethi,430,5,Ge'ez,Ethiopic,3,0,Sarb,am
Gara,164,4,Garay,Garay,16,0,Zzzz
Geok,241,4,,,1,1
Geor,240,4,Georgian,Georgian,1,1,,ka
Glag,225,4,Glagolitic,Glagolitic,4,1
Gong,312,5,Gunjala Gondi,Gunjala_Gondi,11,0,Deva
Gonm,313,5,Masaram Gondi,Masaram_Gondi,10,0,Zzzz
Goth,206,4,Gothic,Gothic,3,1,Grek
Gran,343,5,Grantha,Grantha,7,0,Qabp
Grek,200,4,Greek,Greek,1,1,Phnx,el
Gujr,320,5,Gujarati,Gujarati,1,1,Deva,gu
Gukh,397,5,Khema,Gurung_Khema,16,0,Tibt
Guru,310,5,Gurmukhi,Gurmukhi,1,1,Qabl,pa
Hanb,503,3,Han with Bopomofo,,1,1
Hang,286,4,Hangul,Hangul,1,1,,ko
Hani,500,8,Han,Han,1,1
Hano,371,5,Hanuno'o,Hanunoo,3,2,Tglg
Hans,501,8,Simplified Han,,1,1
Hant,502,8,Traditional Han,,1,1
Hatr,127,6,Hatran,Hatran,8,0
Hebr,125,6,Hebrew,Hebrew,1,1,Armi
Hira,410,7,Hiragana,Hiragana,1,1
Hluw,80,8,Anatolian Hieroglyphs,Anatolian_Hieroglyphs,8,0,Zzzz
Hmng,450,5,Pahawh Hmong,Pahawh_Hmong,7,0
Hmnp,451,5,Nyiakeng Puachue Hmong,Nyiakeng_Puachue_Hmong,12,0
Hntl,504,3,Han with Latin,,,
Hrkt,412,7,Katakana or Hiragana,Katakana_Or_Hiragana,1,1
Hung,176,4,Old Hungarian,Old_Hungarian,8,0
Inds,610,1,Indus,,,
Ital,210,4,Old Italic,Old_Italic,3,1
Jamo,284,4,Jamo,,1,1
