Child,Parent
𐍐,А
𐍑,Φ
𐍒,Γ/Г
𐍓,Д
𐍔,,
𐍕,,
𐍖,,
𐍗,ꙁ
𐍘,,
𐍙,,
𐍚,Κ/К
𐍛,Λ/Л
𐍜,М/Μ
𐍝,,
𐍞,,
𐍟,Π
𐍠,,
𐍡,С
𐍢,Т/Τ
𐍣,Β
𐍤,Θ
𐍥,Χ
𐍦,Ш
𐍧,Ъ
𐍨,Ꙑ
𐍩,Ω
𐍪,Ѡ
𐍮,В
𐍯,,
𐍰,Ь
𐍱,Ѣ
𐍵,Ѧ
