Child,Parent
𐎀,
𐎁,
𐎂,
𐎃,
𐎈,
𐎄,
𐎆,
𐎉,
𐎊,
𐎋,
𐎌,
𐎚,
𐎍,
𐎎,
𐎐,
𐎓,
𐎙,
𐎖,
𐎗,
