Child,Parent,Certainty Type,Notes
𐊂,Β
𐊅,Δ
𐊆,Ε
𐊇,Ϝ
𐊈,Ζ,,From early forms of Zeta
𐊊,Ι,5,Matching glyph with similar sound value
𐊋,Κ
𐊌,,3
𐊍,Λ
𐊎,Μ
𐊏,Ν
𐊑,,3
𐊒,Ο,5,Matching glyph with similar sound value
𐊓,Π,,From early forms of Pi
𐊕,Ρ,
𐊖,Σ,5,Matching sound value and some Western Greek alphabets had this form of Sigma (including where Latin S came from)
𐊗,Τ,
𐊘,,3
𐊙,,3
𐊚,,3
𐊜,Ψ,
