Child,Parent,Certainty Type,Source,Notes
ୱ,,3,https://en.wikipedia.org/wiki/Odia_script#Consonants,A modern addition
ୟ,ଯ,5,https://en.wikipedia.org/wiki/Ya_(Indic)#Odia_Jya,Assumption based on glyph shape/sound
