Child,Parent,Certainty Type,Source,Notes
𑜏,,3,Script Without Buddhism (Daniels 2012),Ahom s identical to early Tay s which appears original
𑜑,,3,Script Without Buddhism (Daniels 2012),Ahom h identical to early Tay h which appears original
𑜎,လ,2,Brown 1837 plate as reproduced in: Script Without Buddhism (Daniels 2012)
𑜐,ည,2,Brown 1837 plate as reproduced in: Script Without Buddhism (Daniels 2012)
