Child,Parent,Certainty Type,Source,Notes
𑎋,𑌏,5,https://www.unicode.org/L2/L2021/21210-tulu-tigalari.pdf,Compare with Malayalam. Tulu/Tigalari does not traditionally have the long/short E distinction and the nominal long E presumably derives from the Grantha
𑎐,𑌓,4,https://www.unicode.org/L2/L2021/21210-tulu-tigalari.pdf,Compare with Malayalam. Tulu/Tigalari does not traditionally have the long/short O distinction and the nominal long O presumably derives from the Grantha
𑎬,𑌰,5,https://www.unicode.org/L2/L2021/21210-tulu-tigalari.pdf,Compare with Malayalam.
𑎭,𑌲,5,https://www.unicode.org/L2/L2021/21210-tulu-tigalari.pdf,Compare with Malayalam.

𑏍,𑌃,4,,
𑏌,𑌂,4,,
