Child,Parent,Certainty Type,Multiplicity,Source,Notes
𔐀,𔘞
𔐈,𔗱
𔐊,𔐉/𔔯,1
𔐎,𔐍
𔐐,𔐏/𔖙,1
𔐒,𔖙/𔐑,1
𔐔,𔐓/𔖫,1
𔐚,𔒉
𔐠,𔐨,1,2
𔐥,𔐤/𔖫,1
𔐨,𔐪
𔐨,𔐯,3
𔐩,𔐨,1
𔐭,𔐫,1,2
𔐮,𔒣
𔐲,𔐑/𔐰,1
𔐳,𔐑/𔐱,1
𔐴,𔖙/𔐱,1
𔐷,𔗷/𔐞,1
𔐹,𔐨/𔔂,1
𔐺,𔑁/𔕸,1
𔐻,𔑁/𔕸,1
𔐿,𔐾
𔑁,𔑂
𔑄,𔑍
𔑄,𔑁/𔖮,3
𔑊,𔑈,1,2,Marazzi 1998 / UEP: Anatolian
𔑎,𔑅/𔑆,3
𔑏,𔔱
𔑒,𔓅/𔑢/𔖻,3,,,AURIS is mentioned as an additional composing hieroglyph but was not found
𔑘,𔗌
𔑙,𔑚
𔑜,𔑛/𔓳,1
𔑟,𔑠,3
𔑟,𔑛,3,2
𔑢,𔑡
𔑤,𔑥/𔑧/𔑣,3,,,SCALA and ROTAE were mentioned as additional composing hieroglyphs but was not found
𔑨,𔑦,1,2
𔑩,𔑣/𔑦,1
𔑯,𔒍
𔑾,𔓂/𔑺/𔖻,3,,Marazzi 1998 / UEP: Anatolian
𔒀,𔓂/𔑺/𔖻,3,,Marazzi 1998 / UEP: Anatolian
𔒁,𔓂/𔑼/𔖻,3,,Marazzi 1998 / UEP: Anatolian
𔒇,𔘺,3
𔒌,𔒕
𔒟,𔒠
𔓋,𔓊,1,2
𔓌,𔓊,1,,,CLAVUS is mentioned as an additional composing hieroglyph but was not found
𔓍,𔓊/𔗷/𔖱,1
𔓎,𔗻/𔗼,3
𔓚,𔘈/𔘊,3
𔓠,𔓟/𔒖,1
𔓥,𔓾/𔓤/𔔯,1
𔓦,𔓾/𔓤/𔔯,1
𔓧,𔓾/𔓤/𔖖,1
𔓬,𔐃
𔓭,𔓬/𔑢,1
𔓭,𔑪,1,2
𔓳,𔓴
𔓵,𔒪
𔓾,𔑕/𔓿,3
𔔄,𔔂/𔒖,1
𔔄,𔖱,3
𔔅,𔔂/𔒖,1
𔔉,𔔊/𔔋,3
𔔏,𔔐
𔔗,𔖔/𔔖/𔖮,3
𔔘,𔒐/𔔖/𔑇,3
𔔚,𔔙/𔖮,1
𔔛,𔔙/𔖖,1
𔔜,𔔙/𔖙,1
𔔝,𔔙
𔔞,𔔟/𔔙,,,,SCALA is mentioned as an additional composing hieroglyph but was not found
𔔡,𔔢
𔔣,𔔤/𔔦,3
𔔬,𔔆/𔑦,1
𔔭,𔔮/𔔯,1
𔔸,𔖣/𔓊,1
𔕌,𔕊/𔓙,1
𔕍,𔕎,3
𔕍,𔕋/𔓬,1
𔕙,𔖃
𔕠,𔕟
𔕦,𔖀/𔗕,3,,Marazzi 1998#C.4 and pg. XXVII,Used Google Translate - 416 (𔗕) is the early variant
𔕩,𔕪
𔕰,𔓃
𔕲,𔔯/𔐫,1
𔕺,𔕾/𔗆,1,,Marazzi 1998 / UEP: Anatolian
𔕼,𔕺/𔖫,1,,Marazzi 1998 / UEP: Anatolian
𔖁,𔕺,1,2
𔖆,𔖍/𔖎/𔖏/𔘻,3
𔖊,𔖉
𔖓,𔖔
𔖯,𔖮/𔖵,1
𔖰,𔓄
𔗃,𔖷/𔕔
𔗘,𔗙
𔗛,𔗆/𔓐,1
𔗥,𔔔
𔗲,𔓕
𔘌,𔘋
𔘑,𔘐
𔘔,𔘖/𔗅,3
𔕱,𔘰,1,,Marazzi 1998#C.4 and pg. XXVIII,"Used Google Translate - the main/variant here was listed in Marazzi oppositely to most of the others in terms of historical derivation"
𔙀,𔐉/𔒂,1
