Child,Parent,Certainty Type,Source
Ա,Α
Բ,Β
Գ,Γ
Դ,Δ
Ե
Զ
Է
Ը,Ε
Ը,,3,Sanjian 1996
Թ,Θ
Ժ,
Ի
Լ
Խ
Ծ,𐮆,3
Կ
Հ
Ձ
Ղ,Ⴂ,3
Ճ,Ϫ
Մ,
Յ
Ն
Շ
Ո
Չ
Պ
Ջ
Ռ,Ρ
Ս
Վ
Տ
Ր,Ρ
Ց
Ւ
Փ,Φ,1
Ք,Ⴕ,3
և,ե/ւ,1
Օ,Ο,1,,Later addition to the alphabet
Ֆ,Φ,,,Later addition to the alphabet
