Child,Parent,Derivation Type,Notes
ㄅ,勹,1,
ㄆ,攵,1,
ㄇ,冂,5,
ㄈ,匚,5,
ㄪ,万,5,
ㄉ,𠚣,1
ㄊ,𠫓,1,
ㄋ,𠄎,5,
ㄌ,𠠲,5,
ㄍ,巜,5,
ㄎ,丂,5,
ㄫ,兀,5,
ㄏ,厂,5,
ㄐ,丩,5,
ㄑ,𡿨,5,
ㄬ,广,5,
ㄒ,丅,5,
ㄓ,𡳿,1,
ㄔ,彳,5,
ㄕ,𡰣,1
ㄗ,卩,1,
ㄘ,𠀁,1,
ㄙ,厶,5,
ㄚ,丫,1
ㄛ,𠀀,1,
ㄜ,ㄛ,1,
ㄝ,也,1,
ㄞ,𠀅,1,
ㄟ,乁,1,
ㄠ,幺,5,
ㄡ,又,1,
ㄢ,𢎘,1,
ㄣ,𠃉,1,
ㄤ,尢,5,
ㄥ,𠃋,5,
ㄦ,儿,5,
ㄨ,㐅,1
ㄧ,一,5,
ㄩ,凵,5,
ㄭ,帀,5,
