Child,Parent,Certainty Type,Source
𐬍,𐬌,1,Skjærvø 1996
𐬏,𐬎,1,Skjærvø 1996
𐬟,𐬞,1,Skjærvø 1996
𐬡,𐬞,1,Skjærvø 1996


