Child,Parent,Certainty Type,Notes
𑤕,𑌞,5,"Similar sound. The glyph doesn't look similar at all, but the ligatures of Grantha nya show a more plausible looking glyph. Compare Malayalam NYA (ഞ). See ñca and ñja in https://en.wikipedia.org/wiki/Grantha_script."
𑤨,𑌲,5,Similar sound/glyph

𑤵,𑍇,5,Similar sound/glyph
