Child,Parent,Certainty Type,Source,Notes
ប,,1,Ferlus 1997
ផ,,1,Ferlus 1997
ព,ဗ,5,Ferlus 1997,"Per Ferlus, likely a borrowing from Old Mon 'b'. Here, Wikipedia https://en.wikipedia.org/wiki/Mon_alphabet#Alphabet shows a similar glyph with a transcription indicating 'b' in that general area. Assumption Mon-Burmese 'BA' is the development from Old Mon 'b' (current typical glyph would be rounded-script vs the square-script likely in the inscription and it's possible the glyph closed at the bottom)."
វ,,1,Ferlus 1997

ឹ,ិ,5,Ferlus 1999,"Ferlus discusses Thai, but notes separate symbols were already available in ancient Khmer, then furthermore assuming internal Khmer division as Pallava did not have the needed quantity of vowels"
ឺ,ី,5,Ferlus 1999,"Ferlus discusses Thai, but notes separate symbols were already available in ancient Khmer, then furthermore assuming internal Khmer division as Pallava did not have the needed quantity of vowels"
ូ,ុ,5,Ferlus 1999,"Ferlus discusses Thai, but notes separate symbols were already available in ancient Khmer, then furthermore assuming internal Khmer division as Pallava did not have the needed quantity of vowels"
