Child,Parent,Certainty Type
ಎ,,5
ಏ,,5
ಒ,,5
ಓ,,5
ಱ,,5

ೆ,,5
ೇ,,5
ೊ,,5
ೋ,,5
ೕ,,5
ೖ,,5

಄,,5
